"identity","regionIdentity","sessionIdentity","description","routeStartTime","version","modifiedBy","modifiedTimestamp","createdBy","createdTimestamp","status","workflowExtensions","preRouteTime","postRouteTime"
"{""identifier"":""R-041"",""entityKey"":20057}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","אופקים נתיבות","2023-11-20T22:00:00",2,"yuval@rasner.co.il","2024-01-18T09:44:59.1136181","shon@rasner.co.il","2023-11-20T12:14:56.877441","PlanningBuilt","[]",0,0
"{""identifier"":""R-042"",""entityKey"":20058}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","דימונה","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:56.9384307","shon@rasner.co.il","2023-11-20T12:14:56.9384307","PlanningActive","[]",0,0
"{""identifier"":""R-044"",""entityKey"":20059}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","קרית גת ק. מלאכי","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:57.0334383","shon@rasner.co.il","2023-11-20T12:14:57.0334383","PlanningActive","[]",0,0
"{""identifier"":""R-045"",""entityKey"":20060}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","אשקלון","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:57.1144367","shon@rasner.co.il","2023-11-20T12:14:57.1144367","PlanningActive","[]",0,0
"{""identifier"":""R-050"",""entityKey"":20061}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","ערד ים המלח","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:57.172439","shon@rasner.co.il","2023-11-20T12:14:57.172439","PlanningActive","[]",0,0
"{""identifier"":""R-052"",""entityKey"":20062}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","חיפה","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:57.2694263","shon@rasner.co.il","2023-11-20T12:14:57.2694263","PlanningActive","[]",0,0
"{""identifier"":""R-053"",""entityKey"":20063}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","קריות","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:57.3804365","shon@rasner.co.il","2023-11-20T12:14:57.3804365","PlanningActive","[]",0,0
"{""identifier"":""R-054"",""entityKey"":20064}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","צפת ק.שמונה","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:57.4514364","shon@rasner.co.il","2023-11-20T12:14:57.4514364","PlanningActive","[]",0,0
"{""identifier"":""R-055"",""entityKey"":20065}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","עפולה נצרת","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:57.5844373","shon@rasner.co.il","2023-11-20T12:14:57.5844373","PlanningActive","[]",0,0
"{""identifier"":""R-056"",""entityKey"":20066}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","כרמיאל","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:57.6854324","shon@rasner.co.il","2023-11-20T12:14:57.6854324","PlanningActive","[]",0,0
"{""identifier"":""R-057"",""entityKey"":20067}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","טבריה","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:57.7404368","shon@rasner.co.il","2023-11-20T12:14:57.7404368","PlanningActive","[]",0,0
"{""identifier"":""R-057A"",""entityKey"":20068}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","בית שאן","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:57.7764378","shon@rasner.co.il","2023-11-20T12:14:57.7764378","PlanningActive","[]",0,0
"{""identifier"":""R-058"",""entityKey"":20069}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","עכו נהריה","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:58.0734368","shon@rasner.co.il","2023-11-20T12:14:58.0734368","PlanningActive","[]",0,0
"{""identifier"":""R-300"",""entityKey"":20070}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","אילת","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:58.1944265","shon@rasner.co.il","2023-11-20T12:14:58.1944265","PlanningActive","[]",0,0
"{""identifier"":""R-700"",""entityKey"":20071}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","שופרסל","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:58.2364263","shon@rasner.co.il","2023-11-20T12:14:58.2364263","PlanningActive","[]",0,0
"{""identifier"":""R-999"",""entityKey"":20072}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","לא ידוע","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:58.2644325","shon@rasner.co.il","2023-11-20T12:14:58.2644325","PlanningActive","[]",0,0
"{""identifier"":""R-JER-SHUF"",""entityKey"":20073}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","שופרסל ירושלים","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:58.2994366","shon@rasner.co.il","2023-11-20T12:14:58.2994366","PlanningActive","[]",0,0
